"Idades
Exatas
(X)";"Probabilidades de Morte
entre Duas Idades Exatas
Q (X, N) (Por Mil)";"Óbitos
D (X, N)";"l ( X )";"L (X, N)";"T(X)";"Expectativa de Vida
à Idade X
E(X)";"ano"
"71";"31.8385208003146";"2016.48730321322";"63334.8300274456";"62326.586375839";"872053.629629541";"13.7689424484386";2006
"72";"34.5085987650933";"2116.01008601102";"61318.3427242324";"60260.3376812269";"809727.043253702";"13.2052988922955";2006
"73";"37.3783509362424";"2212.88556559559";"59202.3326382214";"58095.8898554236";"749466.705572475";"12.6594117524453";2006
"74";"40.4622097104333";"2305.91895873422";"56989.4470726258";"55836.4875932587";"691370.815717052";"12.1315585819948";2006
"75";"43.7689434510849";"2393.44024972273";"54683.5281138916";"53486.8079890302";"635534.328123793";"11.6220432375932";2006
"76";"47.3269772155357";"2474.73179694588";"52290.0878641688";"51052.7219656959";"582047.520134763";"11.1311253032643";2006
"77";"51.1792719583541";"2549.51365586665";"49815.356067223";"48540.5992392896";"530994.798169067";"10.6592593145881";2006
"78";"55.3656054080011";"2616.90198022392";"47265.8424113563";"45957.3914212443";"482454.198929777";"10.2072484973601";2006
"79";"59.9098722480699";"2674.91231724083";"44648.9404311324";"43249.0706771922";"436496.807508533";"9.77619632837192";2006
"80 ou mais";"1";"41982";"41849.2009232519";"393247.736831341";"393247.736831341";"9.39678006164384";2006
"0";"24.0358121680349";"2403.58121680349";"1e+05";"97889.9139240098";"7257247.04054058";"72.5724704054058";2007
"1";"2.18245712963264";"213";"97596.4187831965";"97454.8073454999";"7159357.12661657";"73.3567605848384";2007
"2";"1.19806187580827";"116.5872300302";"97313.1959078033";"97258.2726238952";"7061902.31927107";"72.5688048100042";2007
"3";"0.880192565050133";"85.5576653870274";"97203.3493399872";"97174.1684519873";"6964644.04664718";"71.650247588558";2007
"4";"0.658643505140142";"63.9839151159401";"97144.9875639874";"97126.8870169122";"6867469.87819519";"70.6929925094873";2007
"5";"0.468624042669673";"45.507512094241";"97108.7864698369";"97086.0327137898";"6770342.99117828";"69.7191596898518";2007
"6";"0.37213134877371";"36.1202889149437";"97063.2789577427";"97045.2188132852";"6673256.95846449";"68.7516126605382";2007
"7";"0.300602044301992";"29.1665622486634";"97027.1586688278";"97012.5753877034";"6576211.73965121";"67.7770206803342";2007
"8";"0.268812798490316";"26.0743017061111";"96997.9921065791";"96984.954955726";"6479199.1642635";"66.7972503713717";2007
"9";"0.260614524129726";"25.2722902126639";"96971.917804873";"96959.2816597667";"6382214.20930778";"65.815076712725";2007
"10";"0.262362742604544";"25.4351878035368";"96946.6455146603";"96933.9279207585";"6285254.92764801";"64.8321032077128";2007
"11";"0.270167802462902";"26.1849904060516";"96921.2103268568";"96908.1178316537";"6188320.99972725";"63.8489859841595";2007
"12";"0.306526821646533";"29.7009241497425";"96895.0253364507";"96880.1748743759";"6091412.8818956";"62.8661054656238";2007
"13";"0.415831343617894";"40.2796380003503";"96865.324412301";"96845.1845933008";"5994532.70702122";"61.8852282113451";2007
"14";"0.538322738100519";"52.1231232196069";"96825.0447743006";"96798.9832126908";"5897687.52242792";"60.9107647321563";2007
"15";"0.765055699907668";"74.0366753058777";"96772.921651081";"96735.9033134281";"5800888.53921523";"59.9433027363851";2007
"16";"0.936043975667439";"90.5144087353329";"96698.8849757751";"96653.6277714075";"5704152.6359018";"58.9888149933766";2007
"17";"1.10206819340551";"106.469012418668";"96608.3705670398";"96555.1360608305";"5607499.00813039";"58.043614390941";2007
"18";"1.24406437266307";"120.054577618343";"96501.9015546211";"96441.874265812";"5510943.87206956";"57.1071013450477";2007
"19";"1.36543211328755";"131.602869000366";"96381.8469770028";"96316.0455425026";"5414501.99780375";"56.1776119427933";2007
"20";"1.48934750859577";"143.350061263989";"96250.2441080024";"96178.5690773704";"5318185.95226125";"55.2537398896746";2007
