 Nascidos vivos - Brasil
Nascim p/resid.mãe por Município e Idade da mãe
Idade da mãe: Menor de 10 anos, 10 a 14 anos, 15 a 19 anos, 20 a 24 anos, 25 a 29 anos, 30 a 34 anos, 35 a 39 anos, 40 a 44 anos, 45 a 49 anos, 50 a 54 anos, 55 a 59 anos, 60 a 64 anos, 65 a 69 anos
Período:2016
"Município";"Menor de 10 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"Total"
"150797 Terra Santa";-;6;70;99;56;34;6;2;-;-;-;-;-;273
"150800 Tomé-Açu";-;30;432;508;303;161;62;22;-;-;-;-;-;1518
"150803 Tracuateua";-;11;150;171;112;65;18;10;-;-;-;-;-;537
"150805 Trairão";-;4;68;74;52;16;10;3;-;-;-;-;-;227
"150808 Tucumã";-;9;150;198;154;85;30;4;1;-;-;-;-;631
"150810 Tucuruí";-;32;522;629;449;328;134;25;-;-;-;-;-;2119
"150812 Ulianópolis";-;11;162;149;92;59;17;3;-;-;-;-;-;493
"150815 Uruará";-;16;210;210;173;92;29;5;1;-;-;-;-;736
"150820 Vigia";-;17;198;271;158;74;31;4;-;-;-;-;-;753
"150830 Viseu";-;26;353;373;216;115;57;17;1;-;-;-;-;1158
"150835 Vitória do Xingu";-;9;98;117;95;61;14;1;1;-;-;-;-;396
"150840 Xinguara";-;10;201;298;227;121;41;5;1;-;-;-;-;904
"150000 Município ignorado - PA";-;-;-;-;-;2;-;-;-;-;-;-;-;2
"160010 Amapá";-;2;48;37;24;18;3;1;-;-;-;-;-;133
"160020 Calçoene";-;1;58;40;43;18;14;2;-;-;-;-;-;176
"160021 Cutias";-;-;31;21;16;12;9;-;-;-;-;-;-;89
"160023 Ferreira Gomes";-;4;47;45;45;23;10;6;-;-;-;-;-;180
"160025 Itaubal";-;5;18;30;15;16;11;3;1;-;-;-;-;99
"160027 Laranjal do Jari";-;14;230;242;157;92;40;8;-;-;-;-;-;783
"160030 Macapá";-;116;2007;2645;2097;1573;818;216;6;-;-;-;-;9478
"160040 Mazagão";-;10;152;118;78;61;29;11;1;-;-;-;-;460
"160050 Oiapoque";-;5;128;171;126;71;45;9;3;-;-;-;-;558
"160015 Pedra Branca do Amapari";-;5;70;60;49;46;18;2;1;-;-;-;-;251
"160053 Porto Grande";-;5;83;126;77;58;17;3;-;-;-;-;-;369
"160055 Pracuúba";-;1;21;20;10;11;3;-;-;-;-;-;-;66
"160060 Santana";-;32;551;600;482;344;203;37;4;-;-;-;-;2253
"160005 Serra do Navio";-;3;14;16;15;15;4;-;-;-;-;-;-;67
"160070 Tartarugalzinho";-;6;95;79;65;42;20;4;-;-;-;-;-;311
"160080 Vitória do Jari";-;2;70;74;54;26;12;6;2;-;-;-;-;246
"170025 Abreulândia";-;1;7;9;10;8;1;-;-;-;-;-;-;36
"170030 Aguiarnópolis";-;-;20;27;23;12;2;1;-;-;-;-;-;85
"170035 Aliança do Tocantins";-;1;17;16;8;16;7;3;-;-;-;-;-;68
"170040 Almas";-;2;32;37;18;18;3;3;-;-;-;-;-;113
"170070 Alvorada";-;-;25;22;25;13;10;3;-;-;-;-;-;98
"170100 Ananás";-;2;50;38;36;25;4;-;1;-;-;-;-;156
"170105 Angico";-;-;10;15;15;4;4;-;-;-;-;-;-;48
"170110 Aparecida do Rio Negro";-;-;23;15;15;9;4;3;-;-;-;-;-;69
"170130 Aragominas";-;2;20;17;9;15;3;1;-;-;-;-;-;67
"170190 Araguacema";-;1;21;30;14;20;9;-;-;-;-;-;-;95
"170200 Araguaçu";-;2;24;29;19;13;5;1;-;-;-;-;-;93
"170210 Araguaína";-;32;574;870;790;533;241;44;2;-;-;-;-;3086
"170215 Araguanã";-;1;32;20;24;10;-;-;-;-;-;-;-;87
"170220 Araguatins";-;6;131;175;129;62;28;7;-;-;-;-;-;538
"170230 Arapoema";-;2;26;28;24;10;6;1;-;-;-;-;-;97
"170240 Arraias";-;1;37;43;32;29;12;2;-;-;-;-;-;156
"170255 Augustinópolis";-;2;68;90;90;50;16;-;-;-;-;-;-;316
"170270 Aurora do Tocantins";-;2;8;13;5;8;4;1;-;-;-;-;-;41
"170290 Axixá do Tocantins";-;3;39;65;46;27;9;3;-;-;-;-;-;192
"170300 Babaçulândia";-;1;33;29;18;16;10;1;-;-;-;-;-;108
"170305 Bandeirantes do Tocantins";-;-;9;8;4;10;2;1;-;-;-;-;-;34
"170307 Barra do Ouro";-;2;26;22;22;16;4;1;-;-;-;-;-;93
"170310 Barrolândia";-;2;15;27;17;8;2;1;-;-;-;-;-;72
"170320 Bernardo Sayão";-;2;17;24;13;6;4;1;-;-;-;-;-;67
"170330 Bom Jesus do Tocantins";-;3;25;17;13;12;6;-;1;-;-;-;-;77
"170360 Brasilândia do Tocantins";-;-;7;9;7;2;1;-;-;-;-;-;-;26
"170370 Brejinho de Nazaré";-;1;11;22;27;12;8;-;-;-;-;-;-;81
"170380 Buriti do Tocantins";-;-;31;41;30;24;4;2;-;-;-;-;-;132
"170382 Cachoeirinha";-;1;6;8;1;2;6;1;-;-;-;-;-;25
"170384 Campos Lindos";-;4;42;47;25;25;6;1;-;-;-;-;-;150
"170386 Cariri do Tocantins";-;2;12;15;18;8;2;-;-;-;-;-;-;57
"170388 Carmolândia";-;1;6;12;6;3;3;1;-;-;-;-;-;32
"170389 Carrasco Bonito";-;2;24;9;14;14;1;1;-;-;-;-;-;65
"170390 Caseara";-;-;18;22;20;12;4;2;1;-;-;-;-;79
"170410 Centenário";-;-;4;10;7;4;2;1;-;-;-;-;-;28
"170510 Chapada da Natividade";-;-;6;13;13;4;1;-;-;-;-;-;-;37
"170460 Chapada de Areia";-;-;3;5;4;1;-;-;-;-;-;-;-;13
"170550 Colinas do Tocantins";-;11;131;160;129;90;44;11;-;-;-;-;-;576
"171670 Colméia";-;-;29;28;24;13;6;2;-;-;-;-;-;102
"170555 Combinado";-;-;9;16;12;7;1;-;-;-;-;-;-;45
"170560 Conceição do Tocantins";-;2;9;20;8;8;6;-;-;-;-;-;-;53
"170600 Couto Magalhães";-;3;20;19;16;10;4;-;-;-;-;-;-;72
"170610 Cristalândia";-;-;23;18;16;17;7;1;-;-;-;-;-;82
"170625 Crixás do Tocantins";-;1;8;7;2;2;3;-;-;-;-;-;-;23
"170650 Darcinópolis";-;1;27;29;12;7;1;1;-;-;-;-;-;78
"170700 Dianópolis";-;4;63;79;62;48;23;7;-;-;-;-;-;286
"170710 Divinópolis do Tocantins";-;1;27;35;22;21;3;1;-;-;-;-;-;110
"170720 Dois Irmãos do Tocantins";-;-;14;17;22;10;8;1;-;-;-;-;-;72
"170730 Dueré";-;2;11;17;9;7;2;3;-;-;-;-;-;51
"170740 Esperantina";-;2;34;40;40;21;4;-;-;-;-;-;-;141
"170755 Fátima";-;-;12;20;9;15;6;2;-;-;-;-;-;64
"170765 Figueirópolis";-;-;14;16;16;16;8;1;-;-;-;-;-;71
"170770 Filadélfia";-;5;25;36;27;15;6;2;-;-;-;-;-;116
"170820 Formoso do Araguaia";-;3;86;64;53;39;10;4;1;-;-;-;-;260
"170825 Fortaleza do Tabocão";-;1;13;18;7;7;2;1;-;-;-;-;-;49
"170830 Goianorte";-;2;7;16;8;4;2;1;-;-;-;-;-;40
"170900 Goiatins";-;14;77;65;48;35;19;1;-;-;-;-;-;259
"170930 Guaraí";-;5;74;123;78;65;25;5;1;1;-;-;-;377
"170950 Gurupi";-;19;212;362;339;228;107;27;-;-;-;-;-;1294
"170980 Ipueiras";-;-;5;11;9;4;2;-;-;-;-;-;-;31
"171050 Itacajá";-;6;42;24;23;20;8;-;1;-;-;-;-;124
"171070 Itaguatins";-;-;21;20;13;11;3;1;-;-;-;-;-;69
"171090 Itapiratins";-;2;11;16;11;6;4;2;-;-;-;-;-;52
"171110 Itaporã do Tocantins";-;-;9;11;10;5;2;1;-;-;-;-;-;38
"171150 Jaú do Tocantins";-;-;6;10;7;7;3;-;-;-;-;-;-;33
"171180 Juarina";-;1;7;15;7;7;2;1;-;-;-;-;-;40
"171190 Lagoa da Confusão";-;6;54;57;51;38;13;3;-;-;-;-;-;222
"171195 Lagoa do Tocantins";-;-;11;16;10;14;8;4;1;-;-;-;-;64
"171200 Lajeado";-;-;13;15;14;9;3;2;-;-;-;-;-;56
"171215 Lavandeira";-;-;5;4;4;5;1;-;-;-;-;-;-;19
"171240 Lizarda";-;1;11;9;12;5;2;1;-;-;-;-;-;41
"171245 Luzinópolis";-;-;14;13;8;10;5;-;-;-;-;-;-;50
"171250 Marianópolis do Tocantins";-;3;23;12;10;6;1;1;-;-;-;-;-;56
"171270 Mateiros";-;1;6;10;11;7;2;1;-;-;-;-;-;38
"171280 Maurilândia do Tocantins";-;-;8;5;7;4;1;-;-;-;-;-;-;25
"171320 Miracema do Tocantins";-;6;66;97;71;44;25;2;-;-;-;-;-;311
"171330 Miranorte";-;2;40;55;46;30;16;5;-;-;-;-;-;194
"171360 Monte do Carmo";-;1;20;35;13;15;2;1;-;-;-;-;-;87
"171370 Monte Santo do Tocantins";-;1;5;9;7;3;3;-;-;-;-;-;-;28
"171395 Muricilândia";-;-;11;16;9;7;3;-;-;-;-;-;-;46
"171420 Natividade";-;1;22;34;27;22;11;-;-;-;-;-;-;117
"171430 Nazaré";-;1;14;10;15;6;2;-;-;-;-;-;-;48
"171488 Nova Olinda";-;1;30;58;42;33;12;3;-;-;-;-;-;179
"171500 Nova Rosalândia";-;-;10;13;13;4;-;1;-;-;-;-;-;41
"171510 Novo Acordo";-;2;17;20;16;10;4;-;1;-;-;-;-;70
"171515 Novo Alegre";-;-;2;5;6;5;2;-;-;-;-;-;-;20
"171525 Novo Jardim";-;3;7;11;8;4;1;-;-;-;-;-;-;34
"171550 Oliveira de Fátima";-;1;10;6;4;3;2;-;-;-;-;-;-;26
"172100 Palmas";-;18;637;1208;1281;1060;519;126;5;-;-;1;-;4855
"171570 Palmeirante";-;1;18;15;17;9;3;2;-;-;-;-;-;65
"171380 Palmeiras do Tocantins";-;2;18;27;14;12;6;2;-;1;-;-;-;82
"171575 Palmeirópolis";-;-;16;20;20;16;6;1;-;-;-;-;-;79
"171610 Paraíso do Tocantins";-;8;156;227;231;148;68;12;1;-;-;-;-;851
"171620 Paranã";-;-;37;43;32;16;15;3;-;-;-;-;-;146
"171630 Pau D'Arco";-;-;18;18;15;10;7;1;-;-;-;-;-;69
"171650 Pedro Afonso";-;3;72;63;59;33;20;2;-;-;-;-;-;252
"171660 Peixe";-;3;29;41;26;21;8;2;-;-;-;-;-;130
"171665 Pequizeiro";-;-;16;22;18;9;2;1;-;-;-;-;-;68
"171700 Pindorama do Tocantins";-;-;15;7;10;8;3;-;-;-;-;-;-;43
"171720 Piraquê";-;1;10;4;9;7;1;-;-;-;-;-;-;32
"171750 Pium";-;2;17;21;21;17;10;3;-;-;-;-;-;91
"171780 Ponte Alta do Bom Jesus";-;1;17;22;13;3;-;2;-;-;-;-;-;58
"171790 Ponte Alta do Tocantins";-;2;35;29;31;22;6;1;-;-;-;-;-;126
"171800 Porto Alegre do Tocantins";-;-;10;16;13;8;7;-;-;-;-;-;-;54
"171820 Porto Nacional";-;10;204;300;276;194;90;27;2;-;-;-;-;1103
"171830 Praia Norte";-;1;28;38;40;14;4;1;-;-;-;-;-;126
"171840 Presidente Kennedy";-;1;14;16;11;5;3;1;-;-;-;-;-;51
"171845 Pugmil";-;3;8;13;10;4;1;1;-;-;-;-;-;40
"171850 Recursolândia";-;1;15;18;10;5;4;-;-;-;-;-;-;53
"171855 Riachinho";-;1;17;17;20;8;3;1;-;-;-;-;-;67
"171865 Rio da Conceição";-;1;13;12;9;2;-;1;-;-;-;-;-;38
"171870 Rio dos Bois";-;2;7;16;5;3;3;-;-;-;-;-;-;36
"171875 Rio Sono";-;1;16;19;9;10;3;1;1;-;-;-;-;60
"171880 Sampaio";-;1;23;21;19;17;2;1;-;-;-;-;-;84
"171884 Sandolândia";-;1;5;20;5;11;1;-;-;-;-;-;-;43
"171886 Santa Fé do Araguaia";-;1;32;36;28;12;6;-;-;-;-;-;-;115
"171888 Santa Maria do Tocantins";-;1;11;11;9;4;3;-;-;-;-;-;-;39
"171889 Santa Rita do Tocantins";-;-;7;8;6;2;-;1;-;-;-;-;-;24
"171890 Santa Rosa do Tocantins";-;2;22;14;24;14;5;2;-;-;-;-;-;83
"171900 Santa Tereza do Tocantins";-;-;14;12;6;6;4;-;-;-;-;-;-;42
"172000 Santa Terezinha do Tocantins";-;-;12;7;7;8;1;-;-;-;-;-;-;35
"172010 São Bento do Tocantins";-;-;23;23;14;13;1;-;-;-;-;-;-;74
"172015 São Félix do Tocantins";-;-;5;8;6;2;1;-;-;-;-;-;-;22
"172020 São Miguel do Tocantins";-;3;48;37;44;25;8;2;-;-;-;-;-;167
"172025 São Salvador do Tocantins";-;-;9;9;10;7;4;-;-;-;-;-;-;39
"172030 São Sebastião do Tocantins";-;1;17;19;22;14;5;-;-;-;-;-;-;78
"172049 São Valério";-;-;15;16;5;4;5;-;-;-;-;-;-;45
"172065 Silvanópolis";-;1;19;18;11;16;6;2;-;-;-;-;-;73
"172080 Sítio Novo do Tocantins";-;1;45;42;33;15;7;4;-;-;-;-;-;147
"172085 Sucupira";-;1;7;9;9;3;3;1;-;-;-;-;-;33
"172090 Taguatinga";-;1;40;42;45;35;9;1;-;-;-;-;-;173
"172093 Taipas do Tocantins";-;2;10;8;5;-;1;-;-;-;-;-;-;26
"172097 Talismã";-;1;5;13;5;3;2;2;-;-;-;-;-;31
"172110 Tocantínia";-;7;42;58;25;25;8;1;-;-;-;-;-;166
"172120 Tocantinópolis";-;12;87;124;86;52;26;5;-;-;-;-;-;392
"172125 Tupirama";-;-;7;6;4;4;-;1;-;-;-;-;-;22
"172130 Tupiratins";-;-;12;8;8;1;-;1;-;-;-;-;-;30
"172208 Wanderlândia";-;2;39;36;28;17;9;1;-;-;-;-;-;132
"172210 Xambioá";-;4;53;51;48;19;7;-;-;-;-;-;-;182
"170000 Município ignorado - TO";-;-;-;-;-;-;-;1;-;-;-;-;-;1
"210005 Açailândia";-;26;390;598;478;301;106;20;1;-;-;-;-;1920
"210010 Afonso Cunha";-;1;23;31;19;23;10;1;-;-;-;-;-;108
"210015 Água Doce do Maranhão";-;3;43;47;44;22;5;-;-;-;-;-;-;164
"210020 Alcântara";-;3;40;70;42;11;6;2;-;-;-;-;-;174
"210030 Aldeias Altas";-;5;117;94;93;57;19;7;-;-;-;-;-;392
"210040 Altamira do Maranhão";-;3;29;21;14;13;2;1;-;-;-;-;-;83
"210043 Alto Alegre do Maranhão";-;7;124;152;84;52;18;1;1;-;-;-;-;439
"210047 Alto Alegre do Pindaré";-;8;143;140;95;55;22;10;1;-;-;-;-;474
"210050 Alto Parnaíba";-;3;54;44;38;24;5;2;-;-;-;-;-;170
"210055 Amapá do Maranhão";-;6;47;41;16;19;-;1;-;-;-;-;-;130
"210060 Amarante do Maranhão";-;30;220;195;160;80;41;9;2;1;1;-;-;739
"210070 Anajatuba";-;1;73;114;89;49;17;3;-;-;-;-;-;346
"210080 Anapurus";-;3;66;89;52;23;18;4;-;1;-;-;-;256
"210083 Apicum-Açu";-;5;81;119;69;24;7;3;-;-;-;-;-;308
"210087 Araguanã";-;8;55;54;40;24;3;4;-;-;-;-;-;188
"210090 Araioses";-;6;176;167;112;69;22;3;-;-;-;-;-;555
"210095 Arame";-;18;145;151;116;63;25;5;1;-;-;-;-;524
"210100 Arari";-;2;124;147;102;72;29;5;1;-;-;-;-;482
"210110 Axixá";-;3;29;66;38;32;20;2;-;-;-;-;-;190
"210120 Bacabal";-;20;382;418;312;237;88;19;-;-;-;-;-;1476
"210125 Bacabeira";-;1;69;86;72;43;15;5;1;-;-;-;-;292
"210130 Bacuri";-;6;74;89;41;18;12;-;-;-;-;-;-;240
"210135 Bacurituba";-;-;12;24;18;7;5;2;-;-;-;-;-;68
"210140 Balsas";-;21;489;624;466;262;110;26;-;-;-;-;-;1998
"210150 Barão de Grajaú";-;6;48;74;62;47;29;7;-;-;-;-;-;273
"210160 Barra do Corda";-;31;370;425;300;224;74;13;2;-;-;-;-;1439
"210170 Barreirinhas";-;13;304;428;286;163;74;12;4;-;-;-;-;1284
"210177 Bela Vista do Maranhão";-;2;50;62;48;26;6;-;-;-;-;-;-;194
"210173 Belágua";-;4;51;43;40;20;12;3;-;-;-;-;-;173
"210180 Benedito Leite";-;1;15;22;18;12;3;2;-;-;-;-;-;73
"210190 Bequimão";-;2;59;86;68;39;10;2;-;-;-;-;-;266
"210193 Bernardo do Mearim";-;1;11;19;14;3;6;-;-;-;-;-;-;54
"210197 Boa Vista do Gurupi";-;4;55;54;21;15;8;3;-;-;-;-;-;160
"210200 Bom Jardim";-;16;182;200;136;69;22;14;-;-;1;-;-;640
"210203 Bom Jesus das Selvas";-;7;186;177;108;82;34;6;-;-;-;-;-;600
"210207 Bom Lugar";-;-;37;29;45;25;6;-;-;-;-;-;-;142
"210210 Brejo";-;9;115;130;114;62;34;6;-;-;-;-;-;470
"210215 Brejo de Areia";-;7;24;34;17;15;5;1;-;-;-;-;-;103
"210220 Buriti";-;8;153;143;100;67;31;9;2;-;-;-;-;513
"210230 Buriti Bravo";-;8;102;110;78;53;21;4;-;-;-;-;-;376
"210232 Buriticupu";-;30;406;393;273;181;58;25;-;-;-;-;-;1366
"210235 Buritirana";-;4;54;68;41;21;10;-;-;-;-;-;-;198
"210237 Cachoeira Grande";-;2;53;46;22;11;3;2;-;-;-;-;-;139
"210240 Cajapió";-;2;45;74;30;14;10;-;1;-;-;-;-;176
"210250 Cajari";-;5;62;78;67;40;16;4;-;-;-;-;-;272
"210255 Campestre do Maranhão";-;2;57;61;47;24;7;3;-;-;-;-;-;201
"210260 Cândido Mendes";-;11;87;108;56;29;6;1;-;-;-;-;-;298
"210270 Cantanhede";-;3;74;76;64;32;6;4;-;-;-;-;-;259
"210275 Capinzal do Norte";-;3;28;53;36;20;4;1;-;-;-;-;-;145
"210280 Carolina";-;3;92;93;62;47;24;6;-;-;-;-;-;327
"210290 Carutapera";-;6;161;141;98;34;13;3;1;-;-;-;-;457
"210300 Caxias";-;30;590;710;578;428;167;48;6;2;-;-;-;2559
"210310 Cedral";-;-;23;39;28;21;2;-;-;1;-;-;-;114
"210312 Central do Maranhão";-;-;23;32;25;7;4;2;-;-;-;-;-;93
"210315 Centro do Guilherme";-;7;57;52;40;23;8;3;-;-;-;-;-;190
"210317 Centro Novo do Maranhão";-;10;75;82;55;46;23;5;-;-;-;-;-;296
"210320 Chapadinha";-;19;372;401;286;192;77;19;2;-;-;-;-;1368
"210325 Cidelândia";-;1;53;47;43;28;12;2;-;-;-;-;-;186
"210330 Codó";-;29;512;570;439;273;100;24;-;-;-;-;-;1947
"210340 Coelho Neto";-;18;173;228;159;91;36;11;-;-;-;-;-;716
"210350 Colinas";-;7;215;230;145;72;39;9;1;1;-;-;-;719
"210355 Conceição do Lago-Açu";-;4;92;77;43;29;6;1;-;-;-;-;-;252
"210360 Coroatá";-;27;280;311;277;125;66;13;2;-;-;-;-;1101
"210370 Cururupu";-;11;122;115;93;57;16;6;-;-;-;-;-;420
"210375 Davinópolis";-;2;67;66;50;42;9;1;1;-;-;-;-;238
"210380 Dom Pedro";-;4;77;105;84;68;22;4;-;-;-;-;-;364
"210390 Duque Bacelar";-;3;42;50;41;30;16;2;1;-;-;-;-;185
"210400 Esperantinópolis";-;4;68;97;67;48;15;7;-;-;-;-;-;306
"210405 Estreito";-;6;153;200;155;82;40;4;-;-;-;-;-;640
"210407 Feira Nova do Maranhão";-;1;16;29;17;8;4;3;-;-;-;-;-;78
"210408 Fernando Falcão";-;6;52;55;33;22;16;3;-;-;-;-;-;187
"210409 Formosa da Serra Negra";-;3;62;99;49;32;14;2;-;-;-;-;-;261
"210410 Fortaleza dos Nogueiras";-;5;57;60;37;22;8;4;-;-;-;-;-;193
"210420 Fortuna";-;3;80;78;57;51;18;4;1;-;-;-;-;292
"210430 Godofredo Viana";-;3;47;48;34;10;2;1;-;-;-;-;-;145
"210440 Gonçalves Dias";-;5;63;73;59;32;13;4;-;-;-;-;-;249
"210450 Governador Archer";-;-;41;46;42;18;14;3;-;-;-;-;-;164
"210455 Governador Edison Lobão";-;4;88;85;71;36;12;7;-;-;-;-;-;303
"210460 Governador Eugênio Barros";-;3;67;72;50;36;17;2;-;-;-;-;-;247
"210462 Governador Luiz Rocha";-;1;36;28;19;14;5;2;-;-;-;-;-;105
"210465 Governador Newton Bello";-;5;38;44;27;21;8;-;-;-;-;-;-;143
"210467 Governador Nunes Freire";-;9;126;137;102;52;13;6;-;-;-;-;-;445
"210470 Graça Aranha";-;1;13;17;12;12;2;1;-;-;-;-;-;58
"210480 Grajaú";-;47;429;458;338;214;83;18;-;-;-;-;-;1587
"210490 Guimarães";-;1;37;62;36;15;5;2;-;-;-;-;-;158
"210500 Humberto de Campos";-;7;152;171;103;48;21;6;2;-;-;-;-;510
"210510 Icatu";-;4;107;156;64;42;14;9;-;-;-;-;-;396
"210515 Igarapé do Meio";-;3;74;85;52;21;7;3;-;-;-;-;-;245
"210520 Igarapé Grande";-;1;34;48;31;21;6;3;-;-;-;-;-;144
"210530 Imperatriz";-;39;841;1335;1246;943;409;72;7;1;1;-;-;4894
"210535 Itaipava do Grajaú";-;4;79;80;44;33;9;1;-;-;-;-;-;250
"210540 Itapecuru Mirim";-;11;287;348;266;160;53;11;4;-;-;-;-;1140
"210542 Itinga do Maranhão";-;6;110;87;82;42;15;4;-;-;-;-;-;346
"210545 Jatobá";-;-;46;35;23;18;8;4;-;-;-;-;-;134
"210547 Jenipapo dos Vieiras";-;6;95;81;57;51;34;11;3;-;-;-;-;338
"210550 João Lisboa";-;9;121;117;95;70;31;5;-;-;-;-;-;448
"210560 Joselândia";-;8;55;78;46;29;16;1;-;-;-;-;-;233
"210565 Junco do Maranhão";-;-;30;41;23;20;4;1;-;-;-;-;-;119
"210570 Lago da Pedra";-;13;228;259;211;115;40;17;-;-;-;-;-;883
"210580 Lago do Junco";-;4;38;56;31;25;4;1;1;-;-;-;-;160
"210594 Lago dos Rodrigues";-;1;23;29;40;22;12;2;-;1;-;-;-;130
"210590 Lago Verde";-;5;72;70;63;27;21;4;1;-;-;-;-;263
"210592 Lagoa do Mato";-;3;34;28;31;14;16;-;-;-;-;-;-;126
"210596 Lagoa Grande do Maranhão";-;3;57;53;46;34;7;1;-;-;-;-;-;201
"210598 Lajeado Novo";-;-;22;30;30;10;7;-;-;-;-;-;-;99
"210600 Lima Campos";-;7;62;61;53;32;7;4;-;-;-;-;-;226
"210610 Loreto";-;3;37;68;32;18;6;1;-;-;-;-;-;165
"210620 Luís Domingues";-;3;28;39;24;6;1;-;-;-;-;-;-;101
"210630 Magalhães de Almeida";-;3;61;68;35;20;10;1;1;-;-;-;-;199
"210632 Maracaçumé";-;8;81;107;68;45;24;3;-;-;-;-;-;336
"210635 Marajá do Sena";-;3;37;27;21;11;-;2;-;-;-;-;-;101
"210637 Maranhãozinho";-;6;56;43;36;29;11;2;-;-;-;-;-;183
"210640 Mata Roma";-;6;85;105;67;42;20;3;-;-;-;-;-;328
"210650 Matinha";-;3;101;122;86;48;15;7;-;-;-;-;-;382
"210660 Matões";-;6;110;135;93;65;28;10;2;-;-;-;-;449
"210663 Matões do Norte";-;2;28;33;25;16;8;4;-;-;-;-;-;116
"210667 Milagres do Maranhão";-;1;38;25;24;8;5;1;-;-;-;-;-;102
"210670 Mirador";-;2;86;108;63;40;15;2;-;-;-;-;-;316
"210675 Miranda do Norte";-;3;70;103;72;36;14;4;-;-;-;-;-;302
"210680 Mirinzal";-;1;50;80;51;33;10;5;-;-;-;-;-;230
"210690 Monção";-;4;158;217;151;57;30;6;1;-;-;-;-;624
"210700 Montes Altos";-;5;37;40;26;26;13;3;-;-;-;-;-;150
"210710 Morros";-;4;98;87;78;41;15;2;1;-;-;-;-;326
"210720 Nina Rodrigues";-;5;51;67;43;24;7;-;-;-;-;-;-;197
"210725 Nova Colinas";-;1;22;26;26;11;3;1;-;-;-;-;-;90
"210730 Nova Iorque";-;2;10;5;8;1;1;-;-;-;-;-;-;27
"210735 Nova Olinda do Maranhão";-;6;72;65;47;35;6;5;1;-;-;-;-;237
"210740 Olho d'Água das Cunhãs";-;9;60;85;63;33;12;2;-;-;-;-;-;264
"210745 Olinda Nova do Maranhão";-;-;46;66;34;21;8;2;-;-;-;-;-;177
"210750 Paço do Lumiar";-;13;312;477;403;341;128;33;1;2;-;-;-;1710
"210760 Palmeirândia";-;6;81;107;61;44;9;3;-;-;-;-;-;311
"210770 Paraibano";-;4;95;109;69;46;14;4;-;-;-;-;-;341
"210780 Parnarama";-;10;120;135;100;72;39;5;2;1;-;-;-;484
"210790 Passagem Franca";-;8;98;94;80;46;10;5;-;-;-;-;-;341
"210800 Pastos Bons";-;5;88;91;68;39;25;1;1;-;-;-;-;318
"210805 Paulino Neves";-;2;66;106;74;33;27;4;-;-;-;-;-;312
"210810 Paulo Ramos";-;16;101;123;83;43;10;1;-;-;-;-;-;377
"210820 Pedreiras";-;4;123;170;137;88;38;4;-;-;-;-;-;564
"210825 Pedro do Rosário";-;4;70;63;40;24;5;4;-;-;-;-;-;210
"210830 Penalva";-;18;208;223;138;74;15;5;1;-;-;-;-;682
"210840 Peri Mirim";-;2;32;49;22;16;7;3;-;-;-;-;-;131
"210845 Peritoró";-;13;91;123;78;46;12;6;-;-;-;-;-;369
"210850 Pindaré-Mirim";-;10;170;180;117;64;15;11;-;-;-;1;-;568
"210860 Pinheiro";-;19;349;439;360;192;74;27;1;-;-;-;-;1461
"210870 Pio XII";-;7;127;132;79;55;24;1;-;-;-;-;-;425
"210880 Pirapemas";-;9;82;83;60;30;13;3;-;-;-;-;-;280
"210890 Poção de Pedras";-;3;59;66;49;41;16;2;-;-;-;-;-;236
"210900 Porto Franco";-;5;102;134;93;66;15;5;-;-;-;-;-;420
"210905 Porto Rico do Maranhão";-;1;12;27;22;11;4;1;-;-;-;-;-;78
"210910 Presidente Dutra";-;7;183;232;201;115;46;10;-;-;-;-;-;794
"210920 Presidente Juscelino";-;4;66;64;39;19;9;6;-;-;-;-;-;207
"210923 Presidente Médici";-;1;30;34;12;18;5;-;-;-;-;-;-;100
"210927 Presidente Sarney";-;5;117;124;90;34;21;3;1;-;-;-;-;395
"210930 Presidente Vargas";-;3;60;67;42;17;15;5;1;-;-;-;-;210
"210940 Primeira Cruz";-;2;51;63;45;24;10;-;1;-;-;-;-;196
"210945 Raposa";-;8;123;126;126;61;29;2;3;-;-;-;-;478
"210950 Riachão";-;6;105;99;90;56;19;6;-;-;-;-;-;381
"210955 Ribamar Fiquene";-;2;33;34;30;27;6;1;1;-;-;-;-;134
"210960 Rosário";-;15;174;209;117;82;31;6;-;-;-;-;-;634
"210970 Sambaíba";-;2;19;28;8;7;2;-;-;-;-;-;-;66
"210975 Santa Filomena do Maranhão";-;2;13;17;11;8;1;2;-;1;-;-;-;55
"210980 Santa Helena";-;9;137;154;123;62;32;3;-;-;-;-;-;520
"210990 Santa Inês";-;21;385;454;334;204;95;24;2;-;-;-;-;1519
"211000 Santa Luzia";-;18;339;301;274;143;61;16;4;-;-;-;-;1156
"211003 Santa Luzia do Paruá";-;11;100;105;95;49;18;2;1;-;-;-;-;381
"211010 Santa Quitéria do Maranhão";-;11;132;125;93;44;19;4;-;-;-;-;-;428
"211020 Santa Rita";-;10;125;176;142;59;24;4;1;-;-;-;-;541
"211023 Santana do Maranhão";-;-;29;38;26;20;6;-;-;-;-;-;-;119
