 Nascidos vivos - Brasil
Nascim p/resid.mãe por Município e Idade da mãe
Idade da mãe: Menor de 10 anos, 10 a 14 anos, 15 a 19 anos, 20 a 24 anos, 25 a 29 anos, 30 a 34 anos, 35 a 39 anos, 40 a 44 anos, 45 a 49 anos, 50 a 54 anos, 55 a 59 anos, 60 a 64 anos, 65 a 69 anos
Período:2016
"Município";"Menor de 10 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"Total"
"411920 Pinhalão";-;-;17;32;25;23;8;3;-;-;-;-;-;108
"411930 Pinhão";-;5;136;134;109;92;31;11;-;-;-;-;-;518
"411940 Piraí do Sul";-;5;85;116;65;57;31;6;-;-;-;-;-;365
"411950 Piraquara";-;13;249;429;410;290;113;39;-;-;-;-;-;1543
"411960 Pitanga";-;3;85;115;102;79;41;13;2;-;-;-;-;440
"411965 Pitangueiras";-;-;4;8;9;6;5;-;-;-;-;-;-;32
"411970 Planaltina do Paraná";-;-;8;19;22;8;2;-;-;-;-;-;-;59
"411980 Planalto";-;1;15;32;39;25;13;2;-;-;-;-;-;127
"411990 Ponta Grossa";-;31;856;1342;1369;1020;576;136;8;2;-;-;-;5340
"411995 Pontal do Paraná";-;4;76;91;69;73;44;8;-;-;-;-;-;365
"412000 Porecatu";-;2;38;44;40;27;14;3;-;-;-;-;-;168
"412010 Porto Amazonas";-;-;9;12;15;9;7;-;-;-;-;-;-;52
"412015 Porto Barreiro";-;3;6;10;8;15;2;-;-;-;-;-;-;44
"412020 Porto Rico";-;-;4;7;10;10;3;2;-;-;-;-;-;36
"412030 Porto Vitória";-;-;7;14;12;8;2;1;-;-;-;-;-;44
"412033 Prado Ferreira";-;2;11;15;12;11;6;1;-;-;-;-;-;58
"412035 Pranchita";-;-;9;18;16;15;4;3;-;-;-;-;-;65
"412040 Presidente Castelo Branco";-;-;6;23;18;9;6;2;-;-;-;-;-;64
"412050 Primeiro de Maio";-;1;17;28;26;18;19;3;-;-;-;-;-;112
"412060 Prudentópolis";-;5;114;161;169;127;78;23;4;-;-;-;-;681
"412065 Quarto Centenário";-;1;4;11;19;7;4;-;1;-;-;-;-;47
"412070 Quatiguá";-;-;8;27;28;13;13;2;-;-;-;-;-;91
"412080 Quatro Barras";-;2;53;73;92;64;34;14;-;-;-;-;-;332
"412085 Quatro Pontes";-;-;2;10;22;8;9;-;-;-;-;-;-;51
"412090 Quedas do Iguaçu";-;2;99;110;108;88;46;9;2;-;-;-;-;464
"412100 Querência do Norte";-;2;35;63;34;32;11;3;-;-;-;-;-;180
"412110 Quinta do Sol";-;-;17;17;8;12;2;-;-;-;-;-;-;56
"412120 Quitandinha";-;-;48;58;60;28;32;6;-;-;-;-;-;232
"412125 Ramilândia";-;-;16;16;20;6;3;3;-;-;-;-;-;64
"412130 Rancho Alegre";-;-;10;10;9;7;6;1;-;-;-;-;-;43
"412135 Rancho Alegre D'Oeste";-;1;4;4;3;4;-;1;-;-;-;-;-;17
"412140 Realeza";-;2;43;48;73;44;23;7;-;-;-;-;-;240
"412150 Rebouças";-;3;40;61;47;38;22;3;1;-;-;-;-;215
"412160 Renascença";-;-;13;20;28;23;17;2;-;-;-;-;-;103
"412170 Reserva";-;2;95;101;96;67;27;10;-;-;-;-;-;398
"412175 Reserva do Iguaçu";-;1;27;37;23;8;8;2;-;-;-;-;-;106
"412180 Ribeirão Claro";-;1;23;44;39;23;14;7;-;-;-;-;-;151
"412190 Ribeirão do Pinhal";-;1;45;52;42;30;18;10;1;-;-;-;-;199
"412200 Rio Azul";-;-;25;51;52;42;18;-;1;-;-;-;-;189
"412210 Rio Bom";-;-;6;9;12;3;4;1;-;-;-;-;-;35
"412215 Rio Bonito do Iguaçu";-;3;51;62;62;56;17;7;1;-;-;-;-;259
"412217 Rio Branco do Ivaí";-;1;19;18;14;8;6;1;-;-;-;-;-;67
"412220 Rio Branco do Sul";-;9;144;163;137;104;40;9;-;-;-;-;-;606
"412230 Rio Negro";-;1;65;81;84;77;50;7;1;-;-;-;-;366
"412240 Rolândia";-;6;122;224;208;201;96;24;1;-;-;1;-;883
