"cod_mun";"n_bpc_cadunico";"comdireito_a_bpc";"desv_pad_n_bpc_cadunico";"desv_pad_bpc";"Município";"idosos";"Total";"prop_idosos_cadunico";"direito_bpc_prop_idosos";"ano"
"320340";0;135,042632707605;0;28,0680029029052;"Mimoso do Sul";2493;27288;0,0541687255144825;0,0541687255144825;2012
"320350";0;183,660630242564;0;32,4105677162558;"Montanha";1775;18960;0,103470777601444;0,103470777601444;2012
"320360";0;10,8021034270659;0;7,63823552667135;"Mucurici";542;5922;0,0199300801237378;0,0199300801237378;2012
"320370";0;59,4115688488625;0;20,9180854593998;"Muniz Freire";1583;19169;0,0375309973776769;0,0375309973776769;2012
"320380";0;10,8021034270659;0;10,8021034272315;"Muqui";1483;15342;0,0072839537606648;0,0072839537606648;2012
"320390";0;189,022547544966;0;33,726878315127;"Nova Venécia";3636;49189;0,0519863992147871;0,0519863992147871;2012
"320400";0;21,6042068541318;0;10,8020819697722;"Pancas";1762;22975;0,0122611843667036;0,0122611843667036;2012
"320405";0;70,2136722759283;0;20,9180411368521;"Pedro Canário";1459;25480;0,048124518352247;0,048124518352247;2012
"320410";0;118,808237596133;0;27,5365512545575;"Pinheiros";1960;25732;0,0606164477531293;0,0606164477531293;2012
"320420";NA;NA;NA;NA;"Piúma";1386;19749;NA;NA;2012
"320425";0;64,8126205623954;0;20,2087607871736;"Ponto Belo";703;7509;0,0921943393490688;0,0921943393490688;2012
"320430";0;5,40105171353295;0;5,40105171361573;"Presidente Kennedy";826;11038;0,0065388035272796;0,0065388035272796;2012
"320435";0;10,8021034270659;0;7,63823552667135;"Rio Bananal";1342;18744;0,00804925739721751;0,00804925739721751;2012
"320440";0;27,0052585676648;0;14,2898153217703;"Rio Novo do Sul";1104;11967;0,0244612849344789;0,0244612849344789;2012
"320450";0;21,6042068541318;0;13,2298061723247;"Santa Leopoldina";1143;12879;0,0189013183325738;0,0189013183325738;2012
"320455";0;16,2031551405988;0;9,35488359353682;"Santa Maria de Jetibá";2296;37141;0,00705712331907615;0,00705712331907615;2012
"320460";0;10,8021034270659;0;7,63823552667135;"Santa Teresa";2274;23276;0,00475026535930778;0,00475026535930778;2012
"320465";0;27,0052585676648;0;12,0770867945861;"São Domingos do Norte";719;8536;0,0375594694960567;0,0375594694960567;2012
"320470";0;16,2031551405988;0;9,35488359353682;"São Gabriel da Palha";2432;34669;0,00666248155452255;0,00666248155452255;2012
"320480";0;21,6042068541318;0;13,2298061723247;"São José do Calçado";1275;10974;0,0169444759640249;0,0169444759640249;2012
"320490";0;513,117842388348;0;61,3457461771808;"São Mateus";6479;118748;0,0791970739911018;0,0791970739911018;2012
"320495";0;16,2031551405988;0;12,0771123844109;"São Roque do Canaã";1110;12074;0,0145974370636026;0,0145974370636026;2012
"320500";0;831,761963884074;0;72,057772601737;"Serra";19499;449362;0,0426566472067324;0,0426566472067324;2012
"320501";0;48,6094654217965;0;16,2030693102056;"Sooretama";1184;26266;0,0410552917413822;0,0410552917413822;2012
"320503";0;54,0105171353295;0;20,2088028422481;"Vargem Alta";1455;20541;0,0371206303335598;0,0371206303335598;2012
"320506";0;10,8021034270659;0;7,63823552667135;"Venda Nova do Imigrante";1520;22426;0,00710664699149072;0,00710664699149072;2012
