"";"local";"Tx de Cobertura Bruta - Creche";"Tx de Cobertura Efetiva - Creche";"Tx de Cobertura - Pré-escola";"Tx de Cobertura efetiva  - Pré-escola";"Creches e Pre-escolas / 1.000 crianças de 0 a 6";"Creches e Pré-escolas públicas (% do total)";"Nº de alunos por turma"
"1";"Afonso Cláudio - ES";"0.309356408869659";"0.294753921038399";"0.891727493917275";"0.801703163017032";"6.56383327863472";"1";"11.1538461538462"
"2";"Águia Branca - ES";"0.282732447817837";"0.320683111954459";"1.21359223300971";"1.0873786407767";"8.14901047729919";"1";"10.9714285714286"
"3";"Água Doce do Norte - ES";"0.131386861313869";"0.121167883211679";"0.996845425867508";"0.883280757097792";"6.93842150910668";"1";"16.9166666666667"
"4";"Alegre - ES";"0.577826725403818";"0.519089574155653";"0.829619921363041";"0.73132372214941";"10.6466876971609";"0.888888888888889";"14.0816326530612"
"5";"Alfredo Chaves - ES";"0.303980699638118";"0.284680337756333";"1.2129963898917";"1.13357400722022";"13.0293159609121";"1";"11.2978723404255"
"6";"Alto Rio Novo - ES";"0.359897172236504";"0.341902313624679";"1.30167597765363";"1.14525139664804";"13.4328358208955";"1";"13.8148148148148"
"7";"Anchieta - ES";"0.814787701317716";"0.761346998535871";"0.994968553459119";"0.905660377358491";"13.0168453292496";"0.882352941176471";"10.875"
"8";"Apiacá - ES";"0.240875912408759";"0.257907542579075";"1.19424460431655";"1.13669064748201";"10.8191653786708";"1";"13.25"
"9";"Aracruz - ES";"0.290820753079993";"0.389901093180635";"1.27282491944146";"0.989616899391335";"3.67500993245928";"0.810810810810811";"15.3584905660377"
"10";"Atílio Vivacqua - ES";"0.642259414225941";"0.619246861924686";"1.16040955631399";"1.04095563139932";"10.7181136120043";"1";"12.2244897959184"
"11";"Baixo Guandu - ES";"0.439774153074028";"0.414680050188206";"1.01470588235294";"0.897058823529412";"12.0746432491767";"0.909090909090909";"8.98726114649681"
"12";"Barra de São Francisco - ES";"0.243761996161228";"0.226871401151631";"0.876811594202899";"0.801932367149758";"6.46311566748384";"0.931034482758621";"18.5376344086022"
"13";"Boa Esperança - ES";"0.372062663185379";"0.352480417754569";"1.0814606741573";"0.960674157303371";"6.0790273556231";"1";"15.9512195121951"
"14";"Bom Jesus do Norte - ES";"0.55";"0.563636363636364";"1.18264840182648";"1.01369863013699";"7.8125";"0.833333333333333";"16.6666666666667"
"15";"Brejetuba - ES";"0.263085399449036";"0.209366391184573";"1.00769230769231";"0.946153846153846";"8.54700854700855";"1";"13.3548387096774"
"16";"Cachoeiro de Itapemirim - ES";"0.507719996211045";"0.477692526285877";"0.884927964536387";"0.790543036571851";"3.55343410236012";"0.895522388059702";"17.4680483592401"
"17";"Cariacica - ES";"0.138710719394583";"0.118268653961515";"0.883073589465789";"0.795816318026502";"2.17875835816784";"0.563218390804598";"17.0175438596491"
"18";"Castelo - ES";"0.457359009628611";"0.433975240715268";"0.952819332566168";"0.86536248561565";"7.529580494801";"0.904761904761905";"16.2282608695652"
"19";"Colatina - ES";"0.552884615384615";"0.508461538461538";"0.993252840909091";"0.899147727272727";"8.18639798488665";"0.897435897435897";"15.3066298342541"
"20";"Conceição da Barra - ES";"0.381792183031459";"0.34699714013346";"1.05131414267835";"0.947434292866083";"4.54821103699212";"1";"18.8620689655172"
"21";"Conceição do Castelo - ES";"0.481546572934974";"0.456942003514938";"1.06134969325153";"0.966257668711656";"9.32835820895522";"1";"12.156862745098"
"22";"Divino de São Lourenço - ES";"0.0669642857142857";"0.0535714285714286";"0.981651376146789";"0.908256880733945";"5.1413881748072";"1";"17.4285714285714"
