"","ano","rbaixacomfilhos","rbaixasemfilhos","rmbacomfilhos","rmbasemfilhos"
"1",2012,8337806.05192587,11850637.4534374,1898194.67386149,2691878.80850193
"2",2013,9192053.28293635,13060166.4830757,1851229.33037397,2628441.90361365
"3",2013,9192053.28293635,13060166.4830757,1851229.33037397,2628441.90361365
"4",2015,8695376.97101986,12378761.1008847,2271355.54824023,3227059.24471226
"5",2016,8592700.9812516,12213074.4303007,2167788.32711401,3076080.26133382
"6",2017,9711889.0328944,11698810.3825181,1254021.03415803,3853059.55042966
