"";"municipio";"matr_creche";"matr_creche_mref";"matr_presc";"matr_4e5_ref";"pop_mun_0a4";"pop_adic_3_a_4";"pop_0a3";"pop_total_4_a_6";"pop_adic_0_a_6"
"70";"Serra - ES";"6585";"5691";"13765";"12537";"38418";"8171";"30247";"15244";"47187"
"71";"Sooretama - ES";"777";"715";"849";"764";"2575";"452";"2123";"882";"2763"
"72";"Vargem Alta - ES";"308";"284";"513";"448";"1463";"261";"1202";"485";"1501"
"73";"Venda Nova do Imigrante - ES";"679";"637";"538";"495";"1262";"332";"930";"529";"1762"
"74";"Viana - ES";"1900";"1683";"2009";"1791";"5381";"1119";"4262";"2056";"6526"
"75";"Vila Pavão - ES";"62";"54";"201";"185";"585";"114";"471";"225";"645"
"76";"Vila Valério - ES";"283";"265";"333";"293";"761";"151";"610";"311";"1051"
"77";"Vila Velha - ES";"4872";"4518";"10986";"9841";"29790";"6378";"23412";"12538";"38373"
"78";"Vitória - ES";"11948";"11526";"8650";"7877";"22361";"4758";"17603";"9069";"27351"
"79";"Espírito Santo";"72144";"67506";"100833";"90609";"265689";"55909";"209780";"105697";"325886"
